prompt,question
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something found in nature?\nAnswer: Yes.\n""}",Does it have a backbone?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something found in nature?\nAnswer: Yes.\nQuestion: Does it have a backbone?\nAnswer: Yes\n""}",Is it a vertebrate?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a natural entity?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a natural entity?\nAnswer: Yes.\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a natural entity?\nAnswer: Yes.\nQuestion: Is it a living thing?\nAnswer: Yes\n""}",Is it a mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a human?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a human?\nAnswer: No\n""}",Is it a mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a human?\nAnswer: No\nQuestion: Is it a mammal?\nAnswer: Yes\n""}",Is it a land mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a living creature?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living creature?\nAnswer: Yes\n""}",Is it a mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living creature?\nAnswer: Yes\nQuestion: Is it a mammal?\nAnswer: No.\n""}",Is it a type of amphibian?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it alive?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it alive?\nAnswer: Yes\n""}",Is it an animal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it alive?\nAnswer: Yes\nQuestion: Is it an animal?\nAnswer: Yes\n""}",Does it live on land?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a person?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a person?\nAnswer: No.\n""}",Is it an invertebrate?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a person?\nAnswer: No.\nQuestion: Is it an invertebrate?\nAnswer: Yes\n""}",Is it a vertebrate?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: Yes\n""}",Is it a mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: Yes\nQuestion: Is it a mammal?\nAnswer: Yes.\n""}",Is it a primate?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: Yes\n""}",Is it a mammal?
